State,Male_Percent,Male_Count,Female_Percent,Female_Count,Total_Percent,Total_Count
Alabama,8.6,161900,10.1,207500,9.4,369400
Alaska,5.3,15300,6.1,16100,5.7,31400
Arizona,5.0,137800,6.4,180700,5.7,318500
Arkansas,8.6,97600,10.5,125600,9.6,223200
California,4.5,680600,4.7,733100,4.6,1413800
Colorado,4.3,98900,5.9,135100,5.1,233900
Connecticut,4.7,65400,5.9,87200,5.3,152500
Delaware,5.9,22400,6.6,27300,6.2,49700
District of Columbia,4.1,10600,5.1,15100,4.6,25700
Florida,6.8,574600,8.2,745500,7.5,1320100
Georgia,5.3,211000,7.9,341100,6.6,552100
Hawaii,3.4,19300,3.6,20800,3.5,40200
Idaho,5.0,35400,6.4,45800,5.7,81200
Illinois,5.4,260600,5.6,287300,5.5,547900
Indiana,7.4,188300,9.5,256200,8.5,444400
Iowa,6.0,72500,7.1,89000,6.6,161600
Kansas,5.9,64400,7.0,79300,6.4,143700
Kentucky,9.8,166800,12.0,214900,10.9,381700
Louisiana,8.5,144500,8.9,163700,8.7,308200
Maine,8.1,43600,9.8,56200,9.0,99900
Maryland,3.7,85000,5.9,149000,4.8,234000
Massachusetts,5.0,136300,6.7,196200,5.9,332500
Michigan,6.8,261800,8.6,348500,7.7,610200
Minnesota,5.0,108600,4.4,98700,4.7,207400
Mississippi,7.6,82500,10.4,122400,9.1,204900
Missouri,6.6,153500,10.4,255600,8.5,409000
Montana,5.2,22800,6.6,28400,5.9,51200
Nebraska,5.2,38300,6.1,45600,5.6,83900
Nevada,5.7,69200,8.0,98600,6.8,167800
New Hampshire,4.7,165200,6.3,235000,5.5,400100
New Jersey,6.3,35100,8.1,46400,7.2,81400
New Mexico,4.5,36100,6.7,55900,5.6,91900
New York,5.0,379600,5.9,490200,5.5,869900
North Carolina,6.1,241000,9.0,386500,7.6,627500
North Dakota,4.4,13500,5.3,15600,4.8,29100
Ohio,7.6,340300,9.5,452900,8.6,793200
Oklahoma,6.6,98500,8.9,136800,7.8,235300
Oregon,5.1,85200,7.0,120300,6.1,205500
Pennsylvania,6.9,344000,6.8,361300,6.8,705300
Rhode Island,5.8,24600,5.7,26000,5.7,50600
South Carolina,6.7,130600,8.3,177200,7.5,307800
South Dakota,5.7,19300,6.2,20800,6.0,40100
Tennessee,9.7,254600,11.1,311100,10.4,565700
Texas,5.2,570900,6.8,771100,6.0,1342000
Utah,3.9,46500,4.7,56300,4.3,102800
Vermont,5.8,15000,7.3,19700,6.6,34700
Virginia,5.4,179600,7.3,254500,6.4,434100
Washington,4.7,143400,5.6,172300,5.1,315700
West Virginia,11.8,82300,14.4,103900,13.1,186200
Wisconsin,5.5,126400,5.7,132800,5.6,259200
Wyoming,6.2,14100,6.9,15100,6.5,29200
United States,5.5,6800400,6.8,8875100,6.2,15587000
